"txn_time","txn_date","order_id","uid","shop_id","shop_owner_uid","gmv","rebate"
"2019-10-30 10:21:00","2019-10-30 00:00:00",141949507,101923373,10979,102817559,85000,20000
"2019-10-30 10:21:00","2019-10-30 00:00:00",141949621,101923373,10979,102817559,20000,0
"2019-10-30 10:24:00","2019-10-30 00:00:00",141950401,100507850,10979,102817559,75000,20000
"2019-10-30 10:25:00","2019-10-30 00:00:00",141950645,100507850,10979,102817559,20000,0
"2019-10-30 10:50:00","2019-10-30 00:00:00",141956682,103514096,10979,102817559,85000,20000
"2019-10-30 10:51:00","2019-10-30 00:00:00",141956843,103514096,10979,102817559,20000,0
"2019-10-30 10:51:00","2019-10-30 00:00:00",141956970,103120102,10979,102817559,95000,20000
"2019-10-30 10:52:00","2019-10-30 00:00:00",141957079,103120102,10979,102817559,20000,0
"2019-10-30 10:52:00","2019-10-30 00:00:00",141957087,103869669,10979,102817559,85000,20000
"2019-10-30 10:53:00","2019-10-30 00:00:00",141957249,103869669,10979,102817559,20000,0
"2019-10-30 10:53:00","2019-10-30 00:00:00",141957490,103557540,10979,102817559,85000,20000
"2019-10-30 10:54:00","2019-10-30 00:00:00",141957649,103557540,10979,102817559,20000,0
"2019-10-30 11:06:00","2019-10-30 00:00:00",141960819,103086848,10979,102817559,85000,20000
"2019-10-30 11:07:00","2019-10-30 00:00:00",141961135,103086848,10979,102817559,20000,0
"2019-10-30 11:08:00","2019-10-30 00:00:00",141961479,102559268,10979,102817559,85000,20000
"2019-10-30 11:08:00","2019-10-30 00:00:00",141961642,102559268,10979,102817559,20000,0
"2019-10-30 11:23:00","2019-10-30 00:00:00",141966104,100990515,10979,102817559,70000,20000
"2019-10-30 11:24:00","2019-10-30 00:00:00",141966455,100990515,10979,102817559,20000,0
"2019-10-30 12:55:00","2019-10-30 00:00:00",141995241,102840655,10979,102817559,100000,20000
"2019-10-30 12:55:00","2019-10-30 00:00:00",141995427,102840655,10979,102817559,20000,0
"2019-10-30 13:53:00","2019-10-30 00:00:00",142013779,103005918,10979,102817559,100000,20000
"2019-10-30 13:54:00","2019-10-30 00:00:00",142014033,103005918,10979,102817559,20000,0
"2019-10-30 14:38:00","2019-10-30 00:00:00",142032017,102584583,10979,102817559,90000,20000
"2019-10-30 14:39:00","2019-10-30 00:00:00",142032428,102584583,10979,102817559,20000,0
